question,answer,options,llm_labeled_successfully,llm_label
"A 1-month-old male newborn is brought to the physician because of poor feeding, a hoarse cry, and lethargy for 1 week. The boy was born in Mozambique, from where he and his parents emigrated 2 weeks ago. He is at the 95th percentile for head circumference, 50th percentile for length, and 70th percentile for weight. Physical examination shows scleral icterus, an enlarged tongue, and generalized hypotonia. The abdomen is distended and there is a reducible, soft protruding mass at the umbilicus. Which of the following is the most likely cause of these findings?",Thyroid dysgenesis,"['Biliary atresia', 'Thyroid dysgenesis', 'Acid maltase deficiency', 'Beckwith-Wiedemann syndrome', 'Congenital toxoplasmosis']",yes,Biliary atresia
"A previously healthy 36-year-old man is brought to the physician by a friend because of fatigue and a depressed mood for the past few weeks. During this time, he has not been going to work and did not show up to meet his friends for two bowling nights. The friend is concerned that he may lose his job. He spends most of his time alone at home watching television on the couch. He has been waking up often at night and sometimes takes 20 minutes to go back to sleep. He has also been drinking half a pint of whiskey per day for 1 week. His wife left him 4 weeks ago and moved out of their house. His vital signs are within normal limits. On mental status examination, he is oriented to person, place and time. He displays a flattened affect and says that he “doesn't know how he can live without his wife.” He denies suicidal ideation. Which of the following is the next appropriate step in management?",Initiate cognitive behavioral therapy,"['Prescribe a short course of alprazolam', 'Initiate cognitive behavioral therapy', 'Prescribe a short course of duloxetine', 'Initiate disulfiram therapy', 'Hospitalize the patient\n""']",yes,Initiate cognitive behavioral therapy
"A 66-year-old male with a history of deep venous thrombosis is admitted to the hospital with shortness of breath and pleuritic chest pain. He is treated with an anticoagulant, but he develops significant hematochezia. His BP is now 105/60 and HR is 117; both were within normal limits on admission. The effects of the anticoagulant are virtually completely reversed with the administration of protamine. Which of the following was the anticoagulant most likely administered to this patient?",Heparin,"['Warfarin', 'Enoxaparin', 'Heparin', 'Bivalirudin', 'Dabigatran']",yes,Heparin
"A 39-year-old female presents with confusion. Her husband reports that she doesn't know where she is and cannot remember the date. She was recently diagnosed with small cell lung cancer. Vital signs are T 37C, HR 80, BP 120/80 mmHg, RR 14, and O2 sat 99% on room air. She is not orthostatic. Physical examination reveals moist mucous membranes and normal capillary refill. A basic metabolic profile reveals that serum sodium is 129. Regarding this patient's illness, which of the following is true?","Urinary osmolarity will be > 100, and this illness will not correct with saline infusion","['Urinary osmolarity will be > 100, and this illness will not correct with saline infusion', 'Urinary osmolarity will be < 100, and another potential cause of this disorder is excessive water drinking', 'Urinary sodium will be > 20 and fractional excretion of sodium will be >1%', 'Urinary sodium will be < 10, and fractional excretion of sodium will be <1%', 'Urinary sodium will be > 20 and another potential cause of this disorder is renal failure']",yes,Urinary sodium will be > 20 and fractional excretion of sodium will be >1%
A 59-year-old man comes to the physician because of a 1-year history of progressive shortness of breath and nonproductive cough. Pulmonary examination shows bibasilar inspiratory crackles. An x-ray of the chest shows multiple nodular opacities in the upper lobes and calcified hilar nodules. Pulmonary functions tests show an FEV1:FVC ratio of 80% and a severely decreased diffusing capacity for carbon monoxide. A biopsy specimen of a lung nodule shows weakly birefringent needles surrounded by concentric layers of hyalinized collagen. The patient has most likely been exposed to which of the following?,Crystalline silica,"['Beryllium', 'Crystalline silica', 'Moldy hay', 'Carbon dust', 'Asbestos fibers']",yes,Asbestos fibers
"A 66-year-old man is brought to the emergency department because of weakness of his left leg for the past hour. He was unable to get out of bed that morning. His pants are soaked with urine. He has hypertension and coronary artery disease. Current medications include enalapril, carvedilol, aspirin, and simvastatin. His temperature is 37°C (98.6F), pulse is 98/min, and blood pressure is 160/90 mm Hg. Examination shows equal pupils that are reactive to light. Muscle strength is 2/5 in the left lower extremity. Plantar reflex shows an extensor response on the left. Sensation is decreased in the left lower extremity. On mental status examination, he is oriented to time, place, and person and has a flat affect. When asked to count backwards from 20, he stops after counting to 17. When asked to name 10 words beginning with the letter “d,” he stops after naming two words. Fundoscopy shows no abnormalities. Which of the following is the most likely cause of this patient's symptoms?",Right anterior cerebral artery occlusion,"['Left middle cerebral artery occlusion', 'Right anterior cerebral artery occlusion', 'Right posterior cerebral artery occlusion', 'Left anterior cerebral artery occlusion', 'Hypertensive encephalopathy']",yes,Left middle cerebral artery occlusion
A 62-year-old man comes to the physician because of tremors in both hands for the past few months. He has had difficulty buttoning his shirts and holding a cup of coffee without spilling its content. He has noticed that his symptoms improve after a glass of whiskey. His maternal uncle began to develop similar symptoms around the same age. He has bronchial asthma controlled with albuterol and fluticasone. Examination shows a low-amplitude tremor bilaterally when the arms are outstretched that worsens during the finger-to-nose test. Which of the following is the most appropriate pharmacotherapy in this patient?,Primidone,"['Alprazolam', 'Levodopa', 'Primidone', 'Propranolol', 'Valproic acid']",yes,Levodopa
"A 15-year-old boy and his mother were referred to a pulmonology clinic. She is concerned that her son is having some breathing difficulty for the past few months, which is aggravated with exercise. The family is especially concerned because the patient’s older brother has cystic fibrosis. The past medical history is noncontributory. Today, the vital signs include: blood pressure 119/80 mm Hg, heart rate 90/min, respiratory rate 17/min, and temperature 37.0°C (98.6°F). On physical exam, he appears well-developed and well-nourished. The heart has a regular rate and rhythm, and the lungs are clear to auscultation bilaterally. During the exam, he is brought into a special room to test his breathing. A clamp is placed on his nose and he is asked to take in as much air as he can, and then forcefully expire all the air into a spirometer. The volume of expired air represents which of the following?",Vital capacity,"['Expiratory reserve volume', 'Functional residual capacity', 'Tidal volume', 'Total lung capacity', 'Vital capacity']",yes,Vital capacity
"A 33-year-old female presents with recent onset of painful urination, fever, and right flank pain. Urinary sediment analysis is positive for the presence of white blood cell casts and Gram-negative bacteria. She has not recently started any new medications. What is the most likely diagnosis in this patient?",Pyelonephritis,"['Pelvic Inflammatory Disease', 'Acute Interstitial Nephritis', 'Pyelonephritis', 'Cystitis', 'Appendicitis']",yes,Pyelonephritis
"A 15-year-old girl is brought to the physician for her annual physical examination. Breast and pubic hair development began at the age of 12 years, but menses have not yet occurred. She is 160 cm (5 ft 3 in) tall and weighs 54 kg (120 lb); BMI is 21 kg/m2. Physical examination shows normal external genitalia. Breast and pubic hair development are Tanner stage 5. A pelvic ultrasound shows normal ovaries but an absent uterus. These findings are most likely due to a defect in which of the following embryologic structures?",Paramesonephric duct,"['Mesonephric duct', 'Genital tubercle', 'Gubernaculum', 'Urogenital sinus', 'Paramesonephric duct']",yes,Paramesonephric duct
